variant,metric,mean,sd
V0_classical,DR,0.9016834081740566,0.010867335133362185
V0_classical,FPR,0.01026555404967736,0.001379744944359929
V0_classical,Acc,0.9473663351133694,0.004885601588408655
V0_classical,n_detectors,1500.0,0.0
V0_classical,train_time_s,5.159514617919922,0.19479822702231311
V0_classical,infer_time_per_sample_s,0.00024140822760372566,2.5517546889118596e-05
V1_stat_term,DR,0.9016834081740566,0.010867335133362185
V1_stat_term,FPR,0.01026555404967736,0.001379744944359929
V1_stat_term,Acc,0.9473663351133694,0.004885601588408655
V1_stat_term,n_detectors,1500.0,0.0
V1_stat_term,train_time_s,5.686427021026612,0.3059115773038985
V1_stat_term,infer_time_per_sample_s,0.0002466033748720941,4.089965951761147e-05
V2_boundary,DR,0.9234849653419881,0.005286933484146213
V2_boundary,FPR,0.002128375152190166,0.00041129323433485054
V2_boundary,Acc,0.9620784309163275,0.0025375645097606074
V2_boundary,n_detectors,133.9,12.151360234786702
V2_boundary,train_time_s,53.60543417930603,11.455624812327763
V2_boundary,infer_time_per_sample_s,1.7204380473134843e-05,1.6277430891714238e-06
V3_full_binary,DR,0.9234849653419881,0.005286933484146213
V3_full_binary,FPR,0.002128375152190166,0.00041129323433485054
V3_full_binary,Acc,0.9620784309163275,0.0025375645097606074
V3_full_binary,n_detectors,133.9,12.151360234786702
V3_full_binary,train_time_s,53.84990847110748,13.256168536855837
V3_full_binary,infer_time_per_sample_s,1.6972595620307056e-05,1.9055261758544737e-06
V4_multiclass,Acc,0.9887285767413712,0.0014222787567273738
V4_multiclass,n_detectors,526.0,14.613540144521982
