metric,comparison,mean_diff,t_stat,t_p,wilcoxon_stat,wilcoxon_p
DR,V3_vs_V0,0.021801557167931307,4.640077342860582,0.00121912961926165,0.0,0.001953125
FPR,V3_vs_V0,-0.008137178897487198,-17.899208745794745,2.4106596788506163e-08,0.0,0.001953125
Acc,V3_vs_V0,0.014712095802957903,6.946108478419472,6.713532823790246e-05,0.0,0.001953125
