model,DR,FPR,Acc,TP,FN,FP,TN,train_time_s,infer_time_per_sample_s
KNN_reproduced,0.9871965297698174,0.011615080137564078,0.9878130891462429,14110,183,179,15232,0.40803050994873047,3.571622525139893e-05
KMeans_reproduced,0.7525362065346674,0.005904873142560509,0.8778615674656612,10756,3537,91,15320,4.520757675170898,4.2724956118960986e-08
