c_target,DR,FPR,Acc,TP,FN,FP,TN,n_detectors,train_time_s
0.5,0.6934163576575946,0.0011031081694893258,0.8519054672771343,9911,4382,17,15394,69,8.179704189300537
0.7,0.783250542223466,0.0012977743170462656,0.8950309722596284,11195,3098,20,15391,84,11.03324818611145
0.8,0.8149443783670328,0.001557329180455519,0.9101467815782386,11648,2645,24,15387,95,12.776988983154297
0.9,0.8977121667949346,0.0018817727597170851,0.9498047401023432,12831,1462,29,15382,117,15.035424709320068
0.95,0.9309452179388512,0.0026604373499448447,0.9653918664152976,13306,987,41,15370,157,52.117156982421875
0.99,0.9309452179388512,0.0026604373499448447,0.9653918664152976,13306,987,41,15370,157,51.63579487800598
