percentile,radius,DR,FPR,Acc,TP,FN,FP,TN,n_detectors,train_time_s
2,0.5891451350443517,0.0272879932829555,0.00012976901116013495,0.5319148936170213,195,6951,1,7705,1500,4.816391229629517
5,0.6553169136020868,0.29163168205989365,0.0,0.6591704820899542,2084,5062,0,7706,1500,5.040990352630615
10,0.7069850282073454,0.20752868737755387,0.00012976901116013495,0.6186372205763534,1483,5663,1,7705,1500,4.832861661911011
20,0.7736707664105814,0.3049258326336412,0.00012976901116013495,0.6654995960140049,2179,4967,1,7705,1500,5.359987497329712
30,0.8219438328849168,0.46011754827875734,0.0005190760446405398,0.7399676811203878,3288,3858,4,7702,1500,5.835071802139282
40,0.8610523143321966,0.49412258606213266,0.0002595380223202699,0.7564637759224346,3531,3615,2,7704,1500,6.499276638031006
50,0.8983927248031673,0.4918835712286594,0.0007786140669608098,0.7551171559385941,3515,3631,6,7700,1500,8.480649471282959
60,0.9356555255363133,0.7276798208788133,0.0012976901116013497,0.8683005655803933,5200,1946,10,7696,1500,8.058380126953125
