variant,DR,FPR,Acc,TP,FN,FP,TN,n_detectors,train_time_s,infer_time_per_sample_s
V0_classical,0.6601449578951778,0.014375,0.7640936439590521,15757,8112,161,11039,1500,2.8901801109313965,0.005692173428543484
V3_full_binary,0.6871255603502451,0.0034821428571428573,0.7859362970144572,16401,7468,39,11161,119,68.15522527694702,2.136628592220649e-05
